PER,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Fgm,Fga,Fta,Fgp,Tpm,Tpa,Tpp,Ftm,Ftp
12.7,33,859.0,379,74,127.0,89.0,5.0,121,272,113,0.445,48,128,0.375,89,0.788
12.8,25,756.0,264,181,24.0,19.0,39.0,105,241,69,0.436,8,38,0.211,46,0.667
15.6,30,645.0,235,144,24.0,18.0,12.0,94,234,36,0.402,22,80,0.275,25,0.694
10.2,32,513.0,189,121,12.0,21.0,14.0,71,148,62,0.48,10,27,0.37,37,0.597
9.2,34,489.0,167,48,28.0,22.0,0.0,54,142,60,0.38,10,42,0.238,49,0.817
16.2,39,749.0,215,71,88.0,35.0,2.0,78,194,51,0.402,19,58,0.328,40,0.784
13.2,34,774.0,357,234,38.0,36.0,32.0,145,292,92,0.497,5,13,0.385,62,0.674
17.4,39,1231.0,441,134,238.0,87.0,10.0,160,309,144,0.518,21,69,0.304,100,0.694
-3.1,29,362.0,72,45,46.0,23.0,1.0,23,67,33,0.343,5,15,0.333,21,0.636
9.1,39,770.0,382,167,40.0,28.0,10.0,141,317,66,0.445,54,130,0.415,46,0.697
12.4,26,199.0,66,42,8.0,2.0,7.0,23,61,26,0.377,5,20,0.25,15,0.577
22.0,38,893.0,575,374,38.0,37.0,67.0,206,369,268,0.558,1,6,0.167,162,0.604
14.1,30,758.0,291,101,69.0,28.0,6.0,107,243,63,0.44,30,82,0.366,47,0.746
12.7,37,1021.0,435,251,58.0,48.0,32.0,158,326,125,0.485,42,117,0.359,77,0.616
11.1,33,629.0,71,132,25.0,27.0,19.0,29,62,33,0.468,0,0,0.0,13,0.394
6.8,32,611.0,199,64,29.0,43.0,3.0,65,127,83,0.512,7,21,0.333,62,0.747
23.8,34,1049.0,730,157,95.0,62.0,6.0,242,523,145,0.463,122,299,0.408,124,0.855
15.4,30,643.0,179,179,10.0,8.0,107.0,75,149,56,0.503,0,0,0.0,29,0.518
12.9,17,216.0,77,45,8.0,5.0,2.0,32,72,20,0.444,3,15,0.2,10,0.5
27.0,40,1281.0,567,415,50.0,54.0,186.0,210,337,203,0.623,3,20,0.15,144,0.709
16.4,38,716.0,253,250,22.0,14.0,65.0,99,191,96,0.518,0,0,0.0,55,0.573
12.4,30,876.0,406,263,31.0,29.0,41.0,138,269,182,0.513,3,12,0.25,127,0.698
11.6,33,611.0,347,154,32.0,21.0,54.0,116,244,101,0.475,26,63,0.413,89,0.881
15.4,37,1149.0,558,255,68.0,49.0,39.0,210,441,138,0.476,40,111,0.36,98,0.71
3.8,33,913.0,274,117,124.0,52.0,5.0,79,193,118,0.409,20,70,0.286,96,0.814
19.0,35,1168.0,485,201,51.0,31.0,13.0,192,367,147,0.523,6,36,0.167,95,0.646
13.2,31,1103.0,525,165,57.0,43.0,3.0,179,422,133,0.424,62,166,0.373,105,0.789
11.5,34,768.0,283,113,51.0,26.0,15.0,102,192,94,0.531,9,29,0.31,70,0.745
21.8,34,967.0,340,257,15.0,28.0,92.0,157,292,88,0.538,0,2,0.0,26,0.295
12.5,34,1156.0,405,225,95.0,44.0,8.0,131,282,173,0.465,18,57,0.316,125,0.723
10.8,39,1085.0,280,124,174.0,77.0,1.0,92,217,80,0.424,44,122,0.361,52,0.65
25.3,35,1255.0,903,390,46.0,66.0,67.0,306,647,256,0.473,82,203,0.404,209,0.816
9.6,35,1056.0,367,273,93.0,29.0,25.0,132,281,140,0.47,5,40,0.125,98,0.7
